date,code,name,share_change_100m,share_balance_100m,prev_date,prev_share_balance_100m,status,source,updated_at
20260717,510330.SH,华夏沪深300etf,3.6270,82.5235,,,ok,ths-ifind-command:iwencai:fund,2026-07-19T23:31:07+00:00
20260717,588000.SH,华夏上证科创板50ETF,27.7800,374.2467,20260716,346.4667,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260720,159919.SZ,嘉实沪深300etf,1.3500,63.7402,,,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:19:00+00:00
20260720,510300.SH,华泰柏瑞沪深300etf,27.0540,244.2199,,,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:19:00+00:00
20260720,510310.SH,易方达沪深300etf,3.9780,110.1934,,,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:19:00+00:00
20260720,510330.SH,华夏沪深300etf,1.3410,83.8645,,,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:19:00+00:00
20260720,588000.SH,华夏上证科创板50ETF,76.2900,450.5367,20260717,374.2467,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260721,159919.SZ,嘉实沪深300etf,-1.7910,61.9492,,,ok,ths-ifind-command:iwencai:fund,2026-07-21T23:31:07+00:00
20260721,510300.SH,华泰柏瑞沪深300etf,-0.6480,243.5719,,,ok,ths-ifind-command:iwencai:fund,2026-07-21T23:31:07+00:00
20260721,510310.SH,易方达沪深300etf,1.2510,111.4444,,,ok,ths-ifind-command:iwencai:fund,2026-07-21T23:31:07+00:00
20260721,510330.SH,华夏沪深300etf,0.1620,84.0265,,,ok,ths-ifind-command:iwencai:fund,2026-07-21T23:31:07+00:00
20260721,588000.SH,华夏上证科创板50ETF,4.5900,455.1267,,,ok,ths-ifind-command:iwencai:fund,2026-07-21T23:31:07+00:00
20260722,159919.SZ,嘉实沪深300etf,-0.1260,61.8232,,,ok,ths-ifind-command:iwencai:fund,2026-07-22T23:31:03+00:00
20260722,510300.SH,华泰柏瑞沪深300etf,-3.1230,240.4489,,,ok,ths-ifind-command:iwencai:fund,2026-07-22T23:31:03+00:00
20260722,510310.SH,易方达沪深300etf,0.1890,111.6334,,,ok,ths-ifind-command:iwencai:fund,2026-07-22T23:31:03+00:00
20260722,510330.SH,华夏沪深300etf,-0.2250,83.8015,,,ok,ths-ifind-command:iwencai:fund,2026-07-22T23:31:03+00:00
20260722,588000.SH,华夏上证科创板50ETF,-11.5200,443.6067,,,ok,ths-ifind-command:iwencai:fund,2026-07-22T23:31:03+00:00
20260723,159919.SZ,嘉实沪深300etf,0.0990,61.9222,,,ok,ths-ifind-command:iwencai:fund,2026-07-23T21:30:33+00:00
20260723,510300.SH,华泰柏瑞沪深300etf,-0.1800,240.2689,,,ok,ths-ifind-command:iwencai:fund,2026-07-23T21:30:33+00:00
20260723,510310.SH,易方达沪深300etf,0.2160,111.8494,,,ok,ths-ifind-command:iwencai:fund,2026-07-23T21:30:33+00:00
20260723,510330.SH,华夏沪深300etf,0.8820,84.6835,,,ok,ths-ifind-command:iwencai:fund,2026-07-23T21:30:33+00:00
20260723,588000.SH,华夏上证科创板50ETF,17.8500,461.4567,,,ok,ths-ifind-command:iwencai:fund,2026-07-23T21:30:33+00:00
